state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
Oklahoma,2001,29.27518676,35162,3467100,West,2064,29215,1577006.853,1463823,48394,582491,376112,505220
Oregon,2001,11.73608402,37161,3467937,South,132,2218,85562.83108,631983,351507,354502,43365,235636
Pennsylvania,2001,21.50586594,42458,12298970,Northeast,771,16775,926884.6372,3494346,97176,1434606,1392203,669073
Rhode Island,2001,11.63514457,41989,1057142,Northeast,19,196,11817.10014,198529,3898,99908,50,98571
South Carolina,2001,19.68022101,35902,4064995,West,51,1473,66948.627,1043545,70576,481920,414459,147173
South Dakota,2001,17.8106843,36327,757972,Midwest,52,1181,56298.09451,191869,41075,112273,44372,37040
Tennessee,2001,22.03175947,38631,5750789,West,143,4096,184975.4731,1664229,138832,711417,687352,265461
Texas,2001,30.34293948,44784,21319622,West,5481,115834,8373774.023,11696349,102049,5825923,1492977,4384479
Utah,2001,27.58662968,38849,2283715,South,266,7996,458235.7685,812761,12128,262037,384453,167582
Vermont,2001,10.78038558,37618,612223,Northeast,60,0,0,97301,17341,89341,50,8014
Virginia,2001,16.78159559,48194,7198362,West,281,11212,583652.0878,1623928,95664,892831,487601,246654
Washington,2001,13.33172506,48408,5985722,South,170,2964,157403.047,1191573,660961,771735,99441,322413
West Virginia,2001,58.22986754,32263,1801481,West,554,19956,1229523.54,1235368,15165,218672,866590,150543
Wisconsin,2001,19.60481502,42078,5406835,Midwest,155,2464,154891.8376,1461804,128442,611652,494043,363022
Wyoming,2001,128.1696206,53656,494657,South,621,17495,1122343.471,760665,14656,156857,499817,103990
Alabama,2002,30.89224344,34068,4480089,West,216,7357,423191.7647,1799200,253577,564117,845999,389965
Alaska,2002,67.87714237,60101,642337,South,115,7633,798799.6808,714712,18257,277811,16429,420808
Arizona,2002,16.27054318,39323,5396255,South,168,8231,400630.0768,1188639,88265,528059,406479,255247
Arkansas,2002,22.69092995,32514,2705927,West,239,3361,153831.4254,859994,108662,356854,255242,247899
California,2002,11.06910237,47880,34871843,South,691,19569,1207979.99,6098528,684702,3718834,70010,2318656
Colorado,2002,20.22088871,50870,4490406,South,859,12915,937137.1648,1283543,27045,441430,390480,463532
Connecticut,2002,11.59378723,61233,3458749,Northeast,59,636,38190.40069,598625,28633,383046,34206,181671
Delaware,2002,19.7229117,67853,806169,West,18,230,21977.28096,228502,1311,134183,40536,53782
District of Columbia,2002,7.327822346,148686,573158,West,4,0,0,67208,878,33422,99,33688
Florida,2002,14.48826409,40254,16689370,West,221,6627,354371.2815,3323077,176619,1894806,719670,708638
Georgia,2002,19.54572124,44771,8508256,West,144,6765,330384.3561,2208549,283724,1008301,807121,393134
Hawaii,2002,16.53741934,44658,1239613,South,7,0,0,274350,10550,257593,16618,2898
Idaho,2002,11.19092312,33638,1340372,South,109,1721,95733.02155,243884,113187,160207,10194,73482
